Gears						Ratio	Target Ratio	Error (%)	Ang deviation in 100 years (deg)	Pitch Scaling (moon orbit)	First Stage Ratio		Target Perigee Regression	Target Perigee 2nd Stage Ratio	Best Perigee Gear Ratios		Ratio	Error (%)	Ang deviation in 100 years (deg)	Pitch Scaling (Perigee)		Target Nodes Regression	Target Nodes 2nd Stage Ratio	Best Nodes Gear Ratios		Ratio	Error (%)	Ang deviation in 100 years (deg)	Pitch Scaling (Nodes)
																													
52	14	26	14	52	29	12.3687544	12.36874634	0.00006515058865	0.2900991978	0.7641509434	3.714285714		0.8870107566	0.2388105883	11	46	0.8881987578	0.1339331181	42.7680419	0.8636363636		1.053764597	0.283705853	15	53	1.051212938	-0.2421469654	-91.85972381	1.03030303
47	23	43	11	48	31	12.36873645	12.36874634	-0.00007993625062	-0.3559360346	0.6370967742	2.043478261		0.8870107566	0.4340690937	23	53	0.8867924528	-0.02461117503	-7.858935713	1.085714286		1.053764597	0.5156720368	16	31	1.054698457	0.08862133209	33.61896803	0.6714285714
34	13	29	13	53	25	12.3687574	12.36874634	0.00008939022114	0.3980321894	0.8764044944	2.615384615		0.8870107566	0.3391511716	18	53	0.8882438316	0.1390146659	44.39070144	1.510638298		1.053764597	0.402909993	21	52	1.056213018	0.2323498776	88.14314705	1.553191489
49	19	27	8	54	38	12.36876731	12.36874634	0.0001695646334	0.7550286981	0.8932038835	2.578947368		0.8870107566	0.3439429464	11	32	0.8865131579	-0.05609838455	-17.91355339	0.6323529412		1.053764597	0.4086025988	20	49	1.052631579	-0.1075209829	-40.78864989	1.014705882
34	9	34	9	39	45	12.36872428	12.36874634	-0.000178354087	-0.794165926	0.976744186	3.777777778		0.8870107566	0.234796965	8	34	0.8888888889	0.2117372619	67.6127624	0.976744186		1.053764597	0.2789376874	12	43	1.054263566	0.04735107755	17.96288009	1.279069767
38	11	32	11	48	39	12.36872219	12.36874634	-0.0001952752149	-0.8695114558	0.9456521739	3.454545455		0.8870107566	0.2567662716	10	39	0.8857808858	-0.1386534278	-44.27534949	1		1.053764597	0.3050371202	11	36	1.055555556	0.1699581254	64.474508	0.9591836735
40	13	30	13	54	31	12.36877267	12.36874634	0.000212847274	0.947755419	0.8854166667	3.076923077		0.8870107566	0.2882784959	15	52	0.8875739645	0.06349504703	20.27548429	1.264150943		1.053764597	0.342473494	13	38	1.052631579	-0.1075209829	-40.78864989	0.9622641509
35	17	32	9	49	29	12.3687176	12.36874634	-0.0002323438115	-1.034568601	0.8387096774	2.058823529		0.8870107566	0.4308337961	22	51	0.8881199539	0.1250489079	39.9311015	1.403846154		1.053764597	0.5118285185	22	43	1.053351573	-0.03919507391	-14.86885725	1.25
53	17	36	10	54	49	12.36878752	12.36874634	0.0003328955488	1.482300216	0.8879310345	3.117647059		0.8870107566	0.2845128842	8	28	0.8907563025	0.4222661217	134.8396532	0.5142857143		1.053764597	0.3379999651	18	53	1.058823529	0.4800818348	182.1215668	1.014285714
49	12	34	10	49	55	12.36878788	12.36874634	0.0003358366866	1.495396364	0.9904761905	4.083333333		0.8870107566	0.2172271241	10	46	0.8876811594	0.0755800102	24.13450153	0.9180327869		1.053764597	0.2580647993	8	31	1.053763441	-0.0001097151858	-0.04162103226	0.6393442623
41	13	35	11	53	43	12.36867783	12.36874634	-0.0005538653959	-2.466223412	0.96	3.153846154		0.8870107566	0.2812473131	9	32	0.8870192308	0.000955362623	0.3050700923	0.7592592593		1.053764597	0.334120482	8	24	1.051282051	-0.2355882637	-89.37164585	0.5925925926
40	23	30	8	55	29	12.36881559	12.36874634	0.0005598967106	2.49307934	0.8316831683	1.739130435		0.8870107566	0.510031185	25	49	0.8873114463	0.03389921886	10.82482984	1.174603175		1.053764597	0.6059146433	20	33	1.054018445	0.02408966135	9.138539621	0.8412698413
29	13	27	8	46	28	12.36881868	12.36874634	0.0005848718754	2.604287473	0.961038961	2.230769231		0.8870107566	0.3976255116	21	53	0.8838896952	-0.3518628569	-112.35821	1.761904762		1.053764597	0.4723772331	17	36	1.053418803	-0.03281506915	-12.44856892	1.261904762
41	14	39	14	47	31	12.36882818	12.36874634	0.0006616388566	2.946111547	0.7222222222	2.928571429		0.8870107566	0.3028817218	10	33	0.8874458874	0.04905587025	15.66471045	0.7818181818		1.053764597	0.3598220575	9	25	1.054285714	0.04945291265	18.76022229	0.6181818182
44	19	39	9	53	43	12.36882905	12.36874634	0.0006686964494	2.977537234	0.8648648649	2.315789474		0.8870107566	0.3830273722	18	47	0.8868980963	-0.01270111941	-4.055770635	1.031746032		1.053764597	0.4550347123	10	22	1.052631579	-0.1075209829	-40.78864989	0.5079365079
38	13	37	8	43	47	12.36865794	12.36874634	-0.0007147223389	-3.182478953	0.9375	2.923076923		0.8870107566	0.3034510483	10	33	0.8857808858	-0.1386534278	-44.27534949	0.8431372549		1.053764597	0.3604984148	9	25	1.052307692	-0.1382571303	-52.44856892	0.6666666667
51	23	47	13	54	35	12.36865743	12.36874634	-0.0007188317277	-3.200777028	0.6641791045	2.217391304		0.8870107566	0.4000244589	20	50	0.8869565217	-0.006114340831	-1.952454991	0.9459459459		1.053764597	0.4752271712	19	40	1.05326087	-0.0478026531	-18.13418765	0.7972972973
34	19	32	10	54	25	12.36884211	12.36874634	0.0007742519777	3.447549474	0.8315789474	1.789473684		0.8870107566	0.4956824816	8	16	0.8947368421	0.8710250071	278.1390782	0.4528301887		1.053764597	0.5888684513	10	17	1.052631579	-0.1075209829	-40.78864989	0.5094339623
46	13	37	11	53	51	12.36884684	12.36874634	0.0008125272547	3.617979663	0.9719626168	3.538461538		0.8870107566	0.250676953	8	32	0.8846153846	-0.2700499365	-86.23339145	0.6779661017		1.053764597	0.2978030383	14	47	1.05400982	0.02327113361	8.828026822	1.033898305
47	13	31	12	49	37	12.36884962	12.36874634	0.000834998526	3.718038586	0.8349514563	3.615384615		0.8870107566	0.2453434008	13	53	0.8867924528	-0.02461117503	-7.858935713	1.1		1.053764597	0.2914668034	14	48	1.054487179	0.06857152814	26.01296954	1.033333333
51	16	41	14	53	40	12.36863839	12.36874634	-0.0008727411808	-3.886097143	0.762295082	3.1875		0.8870107566	0.2782778844	10	36	0.8854166667	-0.1797148368	-57.3872376	0.6865671642		1.053764597	0.3305928147	8	24	1.0625	0.8289710078	314.474508	0.4776119403
31	16	13	8	55	14	12.36886161	12.36874634	0.0009319226031	4.149617143	1.014705882	1.9375		0.8870107566	0.4578120034	11	24	0.8880208333	0.1138742372	36.3627624	0.7446808511		1.053764597	0.5438785017	25	46	1.05298913	-0.07359011371	-27.91679635	1.510638298
41	19	34	9	44	29	12.36862271	12.36874634	-0.0009995662118	-4.450817133	0.7087378641	2.157894737		0.8870107566	0.4110537653	14	34	0.8885448916	0.1729556298	55.22886147	0.8		1.053764597	0.4883299352	21	43	1.053855569	0.008633062423	3.274997596	1.066666667
45	11	27	8	43	48	12.36860795	12.36874634	-0.001118831697	-4.981876364	1	4.090909091		0.8870107566	0.2168248516	10	46	0.8893280632	0.2612489898	83.42303908	1		1.053764597	0.2575869015	9	35	1.051948052	-0.1723862291	-65.39562187	0.7857142857
42	16	34	8	51	46	12.36888587	12.36874634	0.00112808171	5.023064348	0.97	2.625		0.8870107566	0.3379088597	18	53	0.891509434	0.5071728081	161.952385	1.224137931		1.053764597	0.4014341322	8	20	1.05	-0.3572521805	-135.525492	0.4827586207
46	19	28	15	52	19	12.36860572	12.36874634	-0.001136858641	-5.062145817	0.6574074074	2.421052632		0.8870107566	0.3663740082	11	30	0.8877192982	0.07987971288	25.50749924	0.6307692308		1.053764597	0.4352505944	10	23	1.052631579	-0.1075209829	-40.78864989	0.5076923077
23	15	22	10	55	15	12.36888889	12.36874634	0.001152492621	5.13176	1	1.533333333		0.8870107566	0.578485276	11	19	0.8877192982	0.07987971288	25.50749924	0.7894736842		1.053764597	0.6872377807	11	16	1.054166667	0.03815554895	14.474508	0.7105263158
37	17	37	9	47	34	12.36889658	12.36874634	0.001214660201	5.408576609	0.81	2.176470588		0.8870107566	0.4075454828	11	27	0.8867102397	-0.03387974118	-10.81861015	0.7037037037		1.053764597	0.4841621121	15	31	1.05313093	-0.06013365893	-22.81201951	0.8518518519
50	11	25	9	48	49	12.3685838	12.36874634	-0.00131414163	-5.851542412	1.021052632	4.545454545		0.8870107566	0.1951423665	8	41	0.8869179601	-0.01046171206	-3.340674407	0.8032786885		1.053764597	0.2318282113	10	43	1.057082452	0.3148573638	119.4427955	0.868852459
42	19	36	11	53	31	12.3685754	12.36874634	-0.001382052452	-6.153932236	0.7777777778	2.210526316		0.8870107566	0.4012667708	8	20	0.8842105263	-0.3156929342	-100.8082902	0.4590163934		1.053764597	0.476703032	10	21	1.052631579	-0.1075209829	-40.78864989	0.5081967213
37	10	9	10	52	14	12.36857143	12.36874634	-0.001414140316	-6.296811428	1	3.7		0.8870107566	0.2397326369	12	50	0.888	0.1115255247	35.6127624	1.319148936		1.053764597	0.2848012424	8	28	1.057142857	0.3205896414	121.6173651	0.7659574468
50	19	45	11	54	47	12.36893006	12.36874634	0.001485373652	6.61399557	0.808	2.631578947		0.8870107566	0.3370640875	18	53	0.8937437934	0.7590704843	242.3893265	1.028985507		1.053764597	0.4004305469	8	20	1.052631579	-0.1075209829	-40.78864989	0.4057971014
41	13	41	10	44	46	12.36856187	12.36874634	-0.001491396826	-6.640815251	0.8571428571	3.153846154		0.8870107566	0.2812473131	9	32	0.8870192308	0.000955362623	0.3050700923	0.7592592593		1.053764597	0.334120482	8	24	1.051282051	-0.2355882637	-89.37164585	0.5925925926
34	14	32	9	53	37	12.36894037	12.36874634	0.001568703368	6.985041853	1.011235955	2.428571429		0.8870107566	0.3652397233	19	52	0.8873626374	0.03967040535	12.66770745	1.479166667		1.053764597	0.4339030694	23	53	1.053908356	0.01364240131	5.175316625	1.583333333
43	11	39	10	43	53	12.36895369	12.36874634	0.001676385107	7.464521578	0.932038835	3.909090909		0.8870107566	0.2269097284	10	44	0.8884297521	0.1599750009	51.08383678	1		1.053764597	0.2695676876	14	52	1.052447552	-0.1249847031	-47.41360389	1.222222222
43	17	31	8	53	42	12.36852241	12.36874634	-0.001810458637	-8.061517311	0.9595959596	2.529411765		0.8870107566	0.3506786712	13	37	0.8887122417	0.1918223698	61.25346192	0.8333333333		1.053764597	0.4166046081	10	24	1.053921569	0.01489627075	5.650978588	0.5666666667
43	13	35	9	50	52	12.36850756	12.36874634	-0.001930504339	-8.596050651	1.02	3.307692308		0.8870107566	0.2681660427	11	41	0.8874296435	0.04722456003	15.07992938	0.9285714286		1.053764597	0.3185799944	14	44	1.052447552	-0.1249847031	-47.41360389	1.035714286
47	21	44	9	52	46	12.36899011	12.36874634	0.001970839355	8.77565234	0.8099173554	2.238095238		0.8870107566	0.3963239551	21	53	0.8867924528	-0.02461117503	-7.858935713	1.088235294		1.053764597	0.4708309901	8	17	1.053221289	-0.05155880983	-19.55910545	0.3676470588
37	19	34	13	51	21	12.36899942	12.36874634	0.002046138097	9.110938716	0.6990291262	1.947368421		0.8870107566	0.4554920101	10	22	0.8851674641	-0.207809485	-66.35852947	0.5714285714		1.053764597	0.5411223606	13	24	1.054824561	0.1005883483	38.15871853	0.6607142857
31	10	19	8	42	25	12.369	12.36874634	0.002050814149	9.13176	0.9852941176	3.1		0.8870107566	0.2861325021	8	28	0.8857142857	-0.1461617997	-46.67295189	0.8780487805		1.053764597	0.3399240635	17	50	1.054	0.02233923978	8.474508	1.634146341
46	14	39	14	50	37	12.36900165	12.36874634	0.002064192352	9.191329774	0.7699115044	3.285714286		0.8870107566	0.2699597955	10	37	0.888030888	0.1150077858	36.72473151	0.7833333333		1.053764597	0.3207109643	17	53	1.053908356	0.01364240131	5.175316625	1.166666667
46	14	46	13	50	47	12.36848258	12.36874634	-0.002132461482	-9.495315053	0.8151260504	3.285714286		0.8870107566	0.2699597955	10	37	0.888030888	0.1150077858	36.72473151	0.7833333333		1.053764597	0.3207109643	17	53	1.053908356	0.01364240131	5.175316625	1.166666667
49	29	49	8	49	41	12.36848192	12.36874634	-0.002137827189	-9.519207199	0.6666666667	1.689655172		0.8870107566	0.5249655498	21	40	0.8870689655	0.006562368811	2.095521021	0.7820512821		1.053764597	0.6236565982	33	53	1.052049447	-0.1627640585	-61.74540091	1.102564103
37	11	23	11	51	29	12.36848105	12.36874634	-0.002144851716	-9.550485654	0.9756097561	3.363636364		0.8870107566	0.2637059006	14	53	0.8885077187	0.1687648188	53.89063547	1.395833333		1.053764597	0.3132813667	16	51	1.055258467	0.1417650609	53.77932083	1.395833333
39	16	36	8	53	47	12.36901596	12.36874634	0.002179828411	9.706228085	1.01010101	2.4375		0.8870107566	0.3639018489	8	22	0.8863636364	-0.07295517349	-23.29632851	0.5454545455		1.053764597	0.4323136808	16	37	1.054054054	0.02746885356	10.42045395	0.9636363636
49	12	29	11	54	47	12.36847195	12.36874634	-0.002218385066	-9.87791118	1	4.083333333		0.8870107566	0.2172271241	10	46	0.8876811594	0.0755800102	24.13450153	0.9180327869		1.053764597	0.2580647993	8	31	1.053763441	-0.0001097151858	-0.04162103226	0.6393442623
44	13	37	9	48	54	12.36847104	12.36874634	-0.002225810561	-9.910975043	0.9902912621	3.384615385		0.8870107566	0.2620713599	11	42	0.8864468864	-0.06356970859	-20.29932551	0.9298245614		1.053764597	0.31133954	14	45	1.052991453	-0.07336970807	-27.83318431	1.035087719
48	9	28	9	41	55	12.36902357	12.36874634	0.0022413672	9.980244849	1.021276596	5.333333333		0.8870107566	0.1663145169	8	48	0.8888888889	0.2117372619	67.6127624	0.9824561404		1.053764597	0.1975808619	10	51	1.045751634	-0.7604130027	-288.4666685	1.070175439